"","beta1","beta2","beta3","ratio","tausq","m","method","pa"
"139",51.4292301274895,0.0215424803200859,0.955701805606357,1.52612234046643,0.00446588907895911,"200","R",0.757459908010346
"140",52.9712322494944,0.00238464351419218,0.983682221278102,1.63844750594053,0.0045506549322919,"200","R",0.66012953850419
"141",52.6452104199554,0.00340817389785905,0.982678324163916,1.93513993388385,0.00467163307828116,"200","R",0.908339738468998
"142",52.7131523166632,0.017294226599479,0.980370076046993,1.645271504078,0.0039873452276015,"200","R",0.779549438559919
"143",50.9702015161733,0.0135116175866863,0.960620647109908,2.09485090440122,0.00636798173375208,"200","R",0.743927806974013
"144",51.956971021281,0.0109194064020444,0.972828378121088,1.76761063618457,0.00574309441178852,"200","R",0.669383746237778
"145",51.6334961968987,0.0110672148977673,0.962347811263446,1.8747026535463,0.00492962241607869,"200","R",0.703034868839247
"146",52.6367378673397,0.00439373203933844,0.981861637970182,1.82146868335215,0.00547958691107019,"200","R",0.643674403600083
"147",52.1016614729455,0.0134166272903404,0.974807409106761,1.54780162744436,0.0057146543472751,"200","R",0.679020305454487
"148",52.4242235280169,0.00349629763229932,0.977622150605948,1.62988818807161,0.0054102926084459,"200","R",0.584565754832565
"149",52.7337519094288,0.0133404226303952,0.991219500306598,1.94399838905382,0.00443349173476278,"200","R",0.77995596153694
"150",51.7859528851767,0.015486112341396,0.965963990686813,1.81561590542918,0.00480409789298249,"200","R",0.698359410155192
"151",53.5087930156388,0.0126643508744591,1.00394952725324,1.32048870141704,0.00512362163194575,"200","R",0.72601892477357
"152",55.3825749540938,0.00399589398381299,1.02991025735425,1.21762104613547,0.00457155218430829,"200","R",0.862844570254539
"153",51.4087521378409,0.0063576936339433,0.952396800801836,1.82905100285513,0.00503217209977051,"200","R",0.756371028820626
"154",51.693218145092,0.0206753744093058,0.969649111234405,1.69155104483452,0.00504086231740688,"200","R",0.808598114775689
"155",50.1188521296684,0.0173980826306076,0.936134169907378,1.956178294551,0.0056102029243323,"200","R",0.689272034294015
"156",50.9032739149044,0.0198065875394817,0.951936857957037,1.9584513327825,0.00529602284111627,"200","R",0.743002450947068
"157",53.9192342343323,0.00327958867305185,1.00284179564735,1.70727275387374,0.00423846013038909,"200","R",0.892571128035013
"158",53.8811987931141,0.00905856320435427,1.01352288697353,1.82295014155898,0.00489711799633503,"200","R",0.709789263571189
"159",52.5498026683594,0.00434549715995845,0.97770536529962,1.48959848377721,0.00547189099001793,"200","R",0.634268996801402
"160",52.228807141195,0.00201701499316199,0.965452743075109,1.64387545707578,0.00479803832111797,"200","R",0.739797929170085
"161",52.6966383008111,0.00927489692595688,0.982455710199506,1.46087271286935,0.00496183250070496,"200","R",0.600824754724675
"162",52.7881250857173,0.0115653329993733,0.99506313731255,1.8574960316514,0.00583965571517118,"200","R",0.727606922909931
"163",51.7009134566801,0.0128299138960081,0.958524275850295,1.50406180049686,0.00443561663614216,"200","R",0.736675732231687
"164",50.9349768196904,0.0157219202537999,0.956841483420743,1.76110024205795,0.00639046344989283,"200","R",0.632614937036518
"165",52.1727029860054,0.00989902324037243,0.968164441239382,1.38012004392892,0.00535935983631492,"200","R",0.631946252511305
"166",52.8540505824011,0.00809264348066774,0.990290972165318,1.47814617337873,0.00599574505028115,"200","R",0.694212689057003
"167",52.2074573506662,-0.00438177594333946,0.973608746245545,2.06041220887667,0.00589593926732267,"200","R",0.684676545131354
"168",50.3365659040418,0.00473134808948122,0.939688453205004,1.882476360536,0.00671434706087768,"200","R",0.778790634405273
"169",51.6917541547023,0.0303673421843762,0.974020836861657,1.65890140984568,0.00551906133223745,"200","R",0.779309659831269
"170",53.7308933646711,0.00568825061539351,1.00204601770507,1.48949215452281,0.0047656041990498,"200","R",0.668604176282365
"171",53.4656248940301,0.00698683177747291,0.996218872903977,1.64694067720889,0.00444758209283056,"200","R",0.686201081474754
"172",52.6635539886082,0.0158283427140044,0.974895137077755,1.45839517937189,0.00427945601136991,"200","R",0.723048494316046
"173",52.2107080222769,0.0181477572277118,0.973361226632122,1.93093832588939,0.00362546165537592,"200","R",1.04122600674415
"174",52.6902971765238,0.0119401084361424,0.976873034981811,1.47191678299132,0.00433344644826227,"200","R",0.734182868422492
"175",51.4041276517639,0.0225097925407325,0.960594838134571,1.78343067343617,0.00454114219995849,"200","R",0.778530212262863
"176",52.4119348386447,0.00552696156183652,0.984509126683335,2.08218429466581,0.00545531304271626,"200","R",0.783169618180509
"177",50.9748300131962,0.0230992426319301,0.944404092034409,1.67387087405355,0.00370827363467229,"200","R",0.854622366465558
